Helység,Törzskörméret (cm),Megye,GPS adat,Mérés éve,Faj,"Megjegyzés, újabb mérés, nyomravezető",lat,lon
Iharosberény,560,Somogy,"46,21,44-17,06,56",2004,szelídgesztenye,,46.362222,17.115556
Egervár,558,Zala,"46,55,10-16,51,02",2019,szelídgesztenye,"Torma Zoltánné, Torma Zoltán; magasság: 19 m/2019",46.919444,16.850556
Velem,555,Vas,"47,21,00-16,29,48",2012,szelídgesztenye,Weinberger Judit; 560/2021,47.35,16.496667
Zengővárkony,554,Baranya,"46,10,47-18,26,07",2005,szelídgesztenye,"564/2011, 573/2022, 572/2023",46.179722,18.435278
Babócsa,551,Somogy,"46,02,30-17,21,35",2005,szelídgesztenye,2011: már nincsen meg,46.041667,17.359722
Zengővárkony,548,Baranya,"46,10,49-18,26,04",2005,szelídgesztenye,"2010: a kisebb törzs elpusztult, a fő törzs él. 536/2022",46.180278,18.434444
Nagypáli,545,Zala,"46,54,56-16,50,41",2019,szelídgesztenye,"Torma Zoltánné, Torma Zoltán; magasság: 13 m/2019",46.915556,16.844722
Pusztamagyaród,545,Zala,"46,36,07-16,48,50",2021,szelídgesztenye,"Kovács Károlyné, Bonczók József, Torma Zoltán",46.601944,16.813889
Nagyrécse,543,Zala,"46,30,47-17,02,50",2018,szelídgesztenye,"Somogyi Imre, Torma Zoltánné, Torma Zoltán",46.513056,17.047222
Iharosberény,541,Somogy,"46,21,37-17,06,28",2020,szelídgesztenye,"Torma Zoltánné, Torma Zoltán",46.360278,17.107778
Tokaj,540,Borsod-Abaúj-Zemplén,"48,07,47-21,23,05",2013,szelídgesztenye,Szabó Ferenc; 544/2018,48.129722,21.384722
Velem,539,Vas,"47,20,31-16,29,05",2012,szelídgesztenye,,47.341944,16.484722
Miháld,535,Zala,"46,25,52-17,06,03",2021,szelídgesztenye,"Varga Béla, Berke Lajos, Torma Zoltánné, Torma Zoltán",46.431111,17.100833
Velem,534,Vas,"47,20,57-16,29,51",2004,szelídgesztenye,550/2011; 560/2018,47.349167,16.4975
Szeleste,530,Vas,"47,18,29-16,49,45",2003,szelídgesztenye,527/2015,47.308056,16.829167
Telekes,530,Vas,"46,56,18-16,47,05",2011,szelídgesztenye,Zombori Zoltán,46.938333,16.784722
Iharosberény,526,Somogy,"46,21,35-17,06,35",2020,szelídgesztenye,"Torma Zoltánné, Torma Zoltán",46.359722,17.109722
Nagybakónak,526,Zala,"46,31,27-17,03,26",2018,szelídgesztenye,"Torma Zoltánné, Torma Zoltán",46.524167,17.057222
Bejcgyertyános,523,Vas,"47,09,26-16,55,26",2012,szelídgesztenye,"Khell Melinda, Németh Tamás",47.157222,16.923889
Iharosberény**,522,Somogy,"46,21,35-17,06,51",2020,szelídgesztenye,"Torma Zoltánné, Torma Zoltán",46.359722,17.114167
Iharosberény,521,Somogy,"46,21,39-17,06,26",2020,szelídgesztenye,"Torma Zoltánné, Torma Zoltán",46.360833,17.107222
Bazsi,521,Veszprém,"46,56,01-17,13,52",2008,szelídgesztenye,Baranyai László,46.933611,17.231111
Surd,520,Zala,"46,19,13-16,59,04",2008,szelídgesztenye,,46.320278,16.984444
Iharosberény,520,Somogy,"46,22,32-17,05,55",2008,szelídgesztenye,Baranyai László,46.375556,17.098611
Egervár,519,Zala,"46,55,13-16,51,09",2019,szelídgesztenye,"Torma Zoltánné, Torma Zoltán",46.920278,16.8525
Tokaj,518,Borsod-Abaúj-Zemplén,"48,07,51-21,23,09",2018,szelídgesztenye,"Kiss Balázs, Torma Zoltán, Torma Zoltánné",48.130833,21.385833
Zengővárkony,518,Baranya,"46,10,30-18,25,20",2004,szelídgesztenye,"522/2009; még áll, de már nem él",46.175,18.422222
Sand,518,Zala,"46,25,51-17,06,45",2021,szelídgesztenye,"Antalics Dénes, Torma Zoltánné, Torma Zoltán",46.430833,17.1125
Zengővárkony,516,Baranya,"46,10,49-18,26,09",2005,szelídgesztenye,"525/2011, 529/2022",46.180278,18.435833
Egervár,515,Zala,"46,56,02-16,50,33",2011,szelídgesztenye,Török János; 527/2019,46.933889,16.8425
Surd,515,Zala,"46,18,49-16,58,52",2017,szelídgesztenye,Jandala Attila; magasság: 18 m/2017,46.313611,16.981111
Iharosberény,514,Somogy,"46,21,56-17,05,32",2004,szelídgesztenye,,46.365556,17.092222
Csehimindszent,513,Vas,"47,02,39-16,56,16",2018,szelídgesztenye,"Fukszberger Imre, Torma Zoltánné, Torma Zoltán",47.044167,16.937778
Horvátzsidány,512,Vas,"47,24,27-16,36,37",2020,szelídgesztenye,,47.4075,16.610278
Nagybakónak,511,Zala,"46,33,32-17,03,05",2018,szelídgesztenye,"Torma Zoltánné, Torma Zoltán",46.558889,17.051389
Miháld,510,Zala,"46,25,54-17,06,43",2021,szelídgesztenye,"Torma Zoltánné, Torma Zoltán",46.431667,17.111944
Miháld,509,Zala,"46,25,54-17,06,04",2021,szelídgesztenye,"Varga Béla, Berke Lajos, Torma Zoltánné, Torma Zoltán",46.431667,17.101111
Nagybakónak,509,Zala,"46,33,37-17,01,16",2006,szelídgesztenye,Liszek Péter; 513/2012; Dózsa László: 2014-ben kivágták,46.560278,17.021111
Csipkerek,508,Vas,"47,04,41-16,57,00",2018,szelídgesztenye,"Torma Zoltánné, Torma Zoltán",47.078056,16.95
Magyarszerdahely,508,Zala,"46,32,33-16,54,22",2018,szelídgesztenye,"Torma Zoltánné, Torma Zoltán",46.5425,16.906111
Kiskutas,508,Zala,"46,54,47-16,47,28",2019,szelídgesztenye,"Torma Zoltánné, Torma Zoltán",46.913056,16.791111
Csipkerek,508,Vas,"47,04,04-16,56,42",2002,szelídgesztenye,,47.067778,16.945
Bazsi,506,Veszprém,"46,55,13-17,13,52",2008,szelídgesztenye,Baranyai László,46.920278,17.231111
Pécs,506,Baranya,"46,07,03-18,14,30",2025,szelídgesztenye,Elblinger Ferenc,46.1175,18.241667
Velem,505,Vas,"47,20,19-16,29,16",2021,szelídgesztenye,,47.338611,16.487778
Nagybakónak,503,Zala,"46,33,43-17,01,41",2012,szelídgesztenye,Torma Zoltán,46.561944,17.028056
Surd,503,Zala,"46,18,50-16,58,48",2017,szelídgesztenye,Jandala Attila,46.313889,16.98
Iharosberény,503,Somogy,"46,21,59-17,06,33",2008,szelídgesztenye,Baranyai László,46.366389,17.109167
Antalszállás,502,Baranya,"46,12,05-17,50,23",2003,szelídgesztenye,2017: elszáradt (Takács Márton),46.201389,17.839722
Kőszeg,502,Vas,"47,23,25-16,31,28",2009,szelídgesztenye,Csak a sarja él.,47.390278,16.524444
Egervár,502,Zala,"46,55,21-16,51,07",2019,szelídgesztenye,"Torma Zoltánné, Torma Zoltán; alig van élő ága 2019-ben",46.9225,16.851944
Iharosberény,501,Somogy,"46,22,31-17,05,55",2008,szelídgesztenye,Baranyai László,46.375278,17.098611
Surd,500,Zala,"46,19,00-16,58,31",2018,szelídgesztenye,,46.316667,16.975278
Horvátzsidány,500,Vas,"47,24,34-16,36,23",2020,szelídgesztenye,,47.409444,16.606389
Girincs,422,Borsod-Abaúj-Zemplén,"47,58,02-20,58,54",2015,szivarfa,"Torma Zoltán, Torma Zoltánné, Torma Ágnes",47.967222,20.981667
Kőszeg,297,Vas,"47,23,26-16,32,32",2014,szivarfa,Szél Győző; 2022: már nincsen meg (Nagy Dániel),47.390556,16.542222
Szombathely,293,Vas,"47,15,09-16,36,32",2019,szivarfa,300/2022,47.2525,16.608889
Tata,257,Komárom-Esztergom,"47,39,08-18,20,08",2024,szivarfa,"Szél Győző, Daniló Eszter",47.652222,18.335556
Marcali,255,Somogy,"46,34,48-17,24,26",2015,szivarfa,Sólyom Attila,46.58,17.407222
Budapest,250,Pest,"47,31,05-19,03,00",2020,szivarfa,,47.518056,19.05
Szombathely,247,Vas,"47,15,13-16,36,32",2018,szivarfa,,47.253611,16.608889
Csákány,240,Somogy,"46,32,08-17,16,24",2017,szivarfa,Sólyom Attila,46.535556,17.273333
Eger,239,Heves,"47,53,57-20,22,51",2019,szivarfa,,47.899167,20.380833
Budapest,208,Pest,"47,31,03-19,02,58",2020,szivarfa,,47.5175,19.049444
Iharosberény,537,Somogy,"46,21,46-17,06,18",2007,himalájai cédrus,"552/2012; 563/2015; 563/2016; 580/2018 - változó a talajszint a feltöltődött avar miatt, befolyásolhatta a mérést; 589/2020 - több nagy ága letörött",46.362778,17.105
Kőszegszerdahely,472,Vas,"47,21,12-16,29,59",2012,atlaszcédrus,490/2024,47.353333,16.499722
Alcsútdoboz,408,Fejér,"47,25,07-18,34,47",2012,libanoni cédrus,Baranyai László,47.418611,18.579722
Budapest,384,Pest,"47,32,10-18,59,08",2023,libanoni cédrus,magasság: 14 m/2023,47.536111,18.985556
Bárdudvarnok,330,Somogy,"46,19,41-17,40,41",2015,atlaszcédrus,,46.328056,17.678056
Bárdudvarnok,323,Somogy,"46,19,41-17,40,38",2015,atlaszcédrus,,46.328056,17.677222
Lad,316,Somogy,"46,08,53-17,39,04",2017,atlaszcédrus,"Mesterházi Gábor; Torma Zoltánné, Torma Zoltán; 2026: kidőlt",46.148056,17.651111
Rinyabesenyő,313,Somogy,"46,09,40-17,33,11",2019,atlaszcédrus,"Göndöcs Rudolf, Torma Zoltánné, Torma Zoltán",46.161111,17.553056
Somogybükkösd,312,Somogy,"46,17,59-16,59,17",2017,atlaszcédrus,"Torma Zoltán, Torma Zoltánné",46.299722,16.988056
Erdőtelek,462,Heves,"47,41,46-20,18,41",2016,nyugati ostorfa,"Torma Zoltánné, Torma Zoltán",47.696111,20.311389
Iregszemcse,450,Tolna,"46,41,26-18,11,26",2018,nyugati ostorfa,"Torma Zoltánné, Torma Zoltán; magasság: 25 m/2018",46.690556,18.190556
Dég,415,Fejér,"46,52,30-18,26,04",2009,nyugati ostorfa,"424/2014; 2019: csonkja van meg, még él.",46.875,18.434444
Tengelic,414,Tolna,"46,32,37-18,40,41",2015,nyugati ostorfa,Elblinger Ferenc,46.543611,18.678056
Makó,400,Csongrád,"46,14,08-20,28,51",2018,nyugati ostorfa,Vilmányi Kiss Zoltán; magasság: 22 m/2018,46.235556,20.480833
Baracs,400,Fejér,"46,52,27-18,55,24",2025,nyugati ostorfa,DrT,46.874167,18.923333
Adony,398,Fejér,"47,07,11-18,51,41",2009,nyugati ostorfa,Baranyai László; 414/2015,47.119722,18.861389
Lengyeltóti,388,Somogy,"46,40,12-17,38,27",2015,nyugati ostorfa,Sólyom Attila,46.67,17.640833
Pilis,386,Pest,"47,17,15-19,32,31",2014,nyugati ostorfa,Lesti Szabolcs,47.2875,19.541944
Adony,377,Fejér,"47,07,13-18,51,40",2015,nyugati ostorfa,Szél Győző,47.120278,18.861111
Tengelic,374,Tolna,"46,32,43-18,41,06",2015,nyugati ostorfa,Elblinger Ferenc,46.545278,18.685
Balatonboglár,374,Somogy,"46,46,31-17,39,23",2013,nyugati ostorfa,Sólyom Attila; 394/2024,46.775278,17.656389
Vácrátót,371,Pest,"47,42,29-19,14,07",2014,nyugati ostorfa,"Torma Zoltán, Torma Zoltánné",47.708056,19.235278
Lengyeltóti,367,Somogy,"46,40,12-17,38,29",2015,nyugati ostorfa,Sólyom Attila,46.67,17.641389
Mezőhegyes,362,Békés,"46,18,54-20,49,01",2010,nyugati ostorfa,,46.315,20.816944
Balatonboglár,357,Somogy,"46,46,32-17,39,32",2013,nyugati ostorfa,Sólyom Attila; 2024: már nincsen meg (Jezerniczky-Klinszki Anna),46.775556,17.658889
Iregszemcse,353,Tolna,"46,41,27-18,11,23",2018,nyugati ostorfa,,46.690833,18.189722
Nádasdladány,353,Fejér,"47,07,59-18,14,39",2025,nyugati ostorfa,,47.133056,18.244167
Fót,348,Pest,"47,36,28-19,11,39",2013,nyugati ostorfa,Torma Zoltán,47.607778,19.194167
Balatonboglár,346,Somogy,"46,46,32-17,39,35",2013,nyugati ostorfa,Sólyom Attila; 2024: már nincsen meg (Jezerniczky-Klinszki Anna),46.775556,17.659722
Kajdacs,344,Tolna,"46,33,59-18,37,02",2009,nyugati ostorfa,Elblinger Ferenc,46.566389,18.617222
Tompa,343,Bács-Kiskun,"46,10,57-19,32,02",2018,nyugati ostorfa,"Kovács Sándor, Torma Zoltánné, Torma Zoltán",46.1825,19.533889
Szőlősgyörök,342,Somogy,"46,42,37-17,40,15",2012,nyugati ostorfa,Sólyom Attila,46.710278,17.670833
Adony,339,Fejér,"47,07,11-18,51,45",2015,nyugati ostorfa,Szél Győző,47.119722,18.8625
Makó,338,Csongrád,"46,14,09-20,28,53",2018,nyugati ostorfa,Vilmányi Kiss Zoltán,46.235833,20.481389
Tata,336,Komárom-Esztergom,"47,37,49-18,19,41",2024,nyugati ostorfa,"Szél Győző, Daniló Eszter",47.630278,18.328056
Madaras,336,Bács-Kiskun,"46,02,57-19,16,24",2025,nyugati ostorfa,,46.049167,19.273333
Alsóhídvégpuszta,335,Tolna,"46,30,48-18,39,16",2009,nyugati ostorfa,Elblinger Ferenc,46.513333,18.654444
Tengelic,334,Tolna,"46,33,29-18,43,45",2015,nyugati ostorfa,Elblinger Ferenc,46.558056,18.729167
Balatonboglár,333,Somogy,"46,46,33-17,39,23",2024,nyugati ostorfa,Sólyom Attila,46.775833,17.656389
Nagymágocs,333,Csongrád,"46,35,24-20,28,04",2026,nyugati ostorfa,Torma Zoltán,46.59,20.467778
Perkáta,331,Fejér,"47,02,56-18,47,14",2022,nyugati ostorfa,"Szél Győző, DrT",47.048889,18.787222
Lengyeltóti,330,Somogy,"46,40,16-17,38,31",2015,nyugati ostorfa,Sólyom Attila,46.671111,17.641944
Balatonboglár,330,Somogy,"46,46,31-17,39,35",2013,nyugati ostorfa,Sólyom Attila,46.775278,17.659722
Kecskemét,329,Bács-Kiskun,"46,54,27-19,41,37",2014,nyugati ostorfa,Lesti Szabolcs,46.9075,19.693611
Sülysáp,327,Pest,"47,27,01-19,32,04",2014,nyugati ostorfa,Lesti Szabolcs,47.450278,19.534444
Gyönk,327,Tolna,"46,33,19-18,28,29",2013,nyugati ostorfa,"Torma Zoltán, Torma Zoltánné",46.555278,18.474722
Enying,325,Fejér,"46,55,31-18,14,36",2021,nyugati ostorfa,Elblinger Ferenc,46.925278,18.243333
Lengyeltóti,322,Somogy,"46,40,09-17,38,25",2015,nyugati ostorfa,Sólyom Attila,46.669167,17.640278
Tompa,321,Bács-Kiskun,"46,10,59-19,32,05",2018,nyugati ostorfa,"Kovács Sándor, Torma Zoltánné, Torma Zoltán",46.183056,19.534722
Fót,321,Pest,"47,36,27-19,11,40",2013,nyugati ostorfa,Torma Zoltán,47.6075,19.194444
Szőlősgyörök,320,Somogy,"46,42,38-17,40,16",2012,nyugati ostorfa,Sólyom Attila,46.710556,17.671111
Berkesz,319,Szabolcs-Szatmár-Bereg,"48,05,21-21,58,44",2015,nyugati ostorfa,,48.089167,21.978889
Iregszemcse,318,Tolna,"46,41,29-18,11,24",2018,nyugati ostorfa,,46.691389,18.19
Lengyeltóti,318,Somogy,"46,40,02-17,38,39",2020,nyugati ostorfa,Sólyom Attila,46.667222,17.644167
Iregszemcse,317,Tolna,"46,41,28-18,11,23",2018,nyugati ostorfa,,46.691111,18.189722
Szőlősgyörök,317,Somogy,"46,42,40-17,40,18",2012,nyugati ostorfa,Sólyom Attila,46.711111,17.671667
Balatonboglár,316,Somogy,"46,46,32-17,39,26",2013,nyugati ostorfa,Sólyom Attila,46.775556,17.657222
Vácrátót,313,Pest,"47,42,30-19,14,07",2014,nyugati ostorfa,"Torma Zoltán, Torma Zoltánné",47.708333,19.235278
Tompa,312,Bács-Kiskun,"46,10,56-19,32,02",2018,nyugati ostorfa,"Kovács Sándor, Torma Zoltánné, Torma Zoltán",46.182222,19.533889
Pusztaberény/Lengyeltóti,312,Somogy,"46,41,15-17,36,17",2016,nyugati ostorfa,Sólyom Attila,46.6875,17.604722
Szőlősgyörök,311,Somogy,"46,42,37-17,40,16",2012,nyugati ostorfa,Sólyom Attila,46.710278,17.671111
Budapest,310,Pest,"47,31,11-19,02,43",2014,nyugati ostorfa,Szél Győző,47.519722,19.045278
Szőlősgyörök,310,Somogy,"46,42,52-17,40,24",2012,nyugati ostorfa,Sólyom Attila,46.714444,17.673333
Vácrátót,308,Pest,"47,42,31-19,14,06",2014,nyugati ostorfa,"Torma Zoltán, Torma Zoltánné",47.708611,19.235
Budapest,307,Pest,"47,31,59-19,03,03",2014,nyugati ostorfa,Szél Győző,47.533056,19.050833
Iregszemcse,307,Tolna,"46,41,24-18,11,28",2018,nyugati ostorfa,,46.69,18.191111
Balatonboglár,306,Somogy,"46,46,37-17,39,38",2013,nyugati ostorfa,Sólyom Attila,46.776944,17.660556
Dunaföldvár,306,Tolna,"46,48,33-18,55,37",2018,nyugati ostorfa,,46.809167,18.926944
Tengelic,306,Tolna,"46,33,41-18,43,34",2015,nyugati ostorfa,Elblinger Ferenc,46.561389,18.726111
Makó,304,Csongrád,"46,14,09-20,28,52",2018,nyugati ostorfa,Vilmányi Kiss Zoltán,46.235833,20.481111
Iregszemcse,300,Tolna,"46,41,28-18,11,37",2018,nyugati ostorfa,,46.691111,18.193611
Budapest,300,Pest,"47,31,22-19,02,44",2014,nyugati ostorfa,Szél Győző,47.522778,19.045556
Császló**,307,Szabolcs-Szatmár-Bereg,"47,54,56-22,43,12",2009,húsos som,Szilágyi Antal,47.915556,22.72
Budapest**,600,Pest,"47,30,21-18,58,55",2012,törökmogyoró,"Bajor Zoltán, Szél Győző; a törzs derék-mellmagasságban ketté, majd feljebb négyfelé ágazik.",47.505833,18.981944
Gyöngyös,412,Heves,"47,47,06-19,55,58",2008,törökmogyoró,,47.785,19.932778
Pécs,387,Baranya,"46,04,37-18,13,28",2014,törökmogyoró,"Takács Márton; 2022: nincs meg, kivágták (Gergely János)",46.076944,18.224444
Kajdacs,374,Tolna,"46,34,01-18,37,10",2009,törökmogyoró,Elblinger Ferenc,46.566944,18.619444
Romhány,347,Nógrád,"47,54,59-19,15,06",2005,törökmogyoró,356/2015,47.916389,19.251667
Sajóörös,322,Borsod-Abaúj-Zemplén,"47,57,13-21,01,07",2015,törökmogyoró,"Torma Zoltán, Torma Zoltánné",47.953611,21.018611
Kétegyháza,320,Békés,"46,32,42-21,11,38",2017,törökmogyoró,magasság: 25 m/2017,46.545,21.193889
Iregszemcse,320,Tolna,"46,41,28-18,11,24",2018,törökmogyoró,,46.691111,18.19
Bálványos,317,Somogy,"46,47,02-17,57,02",2020,törökmogyoró,Sólyom Attila,46.783889,17.950556
Adony,306,Fejér,"47,07,13-18,51,38",2015,törökmogyoró,Szél Győző,47.120278,18.860556
Somogyvár**,216,Somogy,"46,34,48-17,37,16",2021,egybibés galagonya,Sólyom Attila,46.58,17.621111
Hedrehely,192,Somogy,"46,10,56-17,39,19",2017,egybibés galagonya,"magasság: 8,5 m/2017",46.182222,17.655278
Kapolcs,170,Veszprém,"46,57,23-17,35,36",2024,egybibés galagonya,Szabó János,46.956389,17.593333
Hács/Béndekpuszta,167,Somogy,"46,39,08-17,43,06",2020,egybibés galagonya,Sólyom Attila,46.652222,17.718333
Pogány,166,Baranya,"45,59,31-18,15,23",2017,egybibés galagonya,"Maráth Klára, Török Eszter, Wenhardt Zsófia",45.991944,18.256389
Baks,160,Csongrád,"46,31,07-20,09,45",2020,egybibés galagonya,,46.518611,20.1625
Pécsvárad,156,Baranya,"46,08,58-18,23,16",2017,egybibés galagonya,Tóth István,46.149444,18.387778
Pamuk,149,Somogy,"46,32,09-17,37,57",2021,egybibés galagonya,Sólyom Attila,46.535833,17.6325
Kapolcs,145,Veszprém,"46,57,19-17,35,38",2024,egybibés galagonya,Szabó János,46.955278,17.593889
Buják,143,Nógrád,"47,54,32-19,32,16",2013,egybibés galagonya,Kincsem Ágnes,47.908889,19.537778
Lukácsháza,138,Vas,"47,20,44-16,34,18",2025,egybibés galagonya,"Balaton Tihamér, Balogh Lajos; magasság: 9.5 m/2025",47.345556,16.571667
Szőlősgyörök,137,Somogy,"46,42,59-17,41,52",2012,egybibés galagonya,Sólyom Attila,46.716389,17.697778
Dunaszentbenedek,134,Bács-Kiskun,"46,36,51-18,52,08",2020,egybibés galagonya,Baranyai László,46.614167,18.868889
Darány,125,Somogy,"45,57,56-17,33,58",2011,egybibés galagonya,Zombori Zoltán,45.965556,17.566111
Somogytúr,123,Somogy,"46,40,49-17,45,37",2024,egybibés galagonya,"Valent Sándor, Sólyom Attila",46.680278,17.760278
Madocsa**,123,Tolna,"46,38,23-18,55,06",2024,egybibés galagonya,Tarczal János (Madocsáért Környezetvédelmi és Kulturális Értékőrző Egyesület),46.639722,18.918333
Tarany,122,Somogy,"46,12,41-17,17,22",2023,egybibés galagonya,,46.211389,17.289444
Madocsa,119,Tolna,"46,39,45-18,54,02",2024,egybibés galagonya,Tarczal János (Madocsáért Környezetvédelmi és Kulturális Értékőrző Egyesület),46.6625,18.900556
Szeged,116,Csongrád,"46,14,19-20,10,58",2023,egybibés galagonya,,46.238611,20.182778
Tahitótfalu,116,Pest,"47,48,39-19,03,34",2016,egybibés galagonya,,47.810833,19.059444
Hács/Béndekpuszta,112,Somogy,"46,39,40-17,42,43",2020,egybibés galagonya,Sólyom Attila,46.661111,17.711944
Kapolcs,88,Veszprém,"46,57,22-17,36,26",2020,csíkos kecskerágó,Balogh Lajos; magasság: 5 m/2020,46.956111,17.607222
Tés,645,Veszprém,"47,15,24-18,05,15",2019,közönséges bükk,"Horváth Tibor, magasság: 26 m/2019; 646/2019 nov., 648/2022 máj.",47.256667,18.0875
Börzsöny (Diósjenő)**,644,Nógrád,"47,56,55-18,57,53",2012,közönséges bükk,"1 m körül szétágazó, 5 törzs.",47.948611,18.964722
Sáska,630,Veszprém,"46,58,47-17,30,09",2008,közönséges bükk,Baranyai László; 2009: tövestül kidőlt,46.979722,17.5025
Úrkút,627,Veszprém,"47,04,47-17,38,07",2013,közönséges bükk,"Jandala Attila, Józsa Balázs, Sütő Krisztián; becsült kor: 250 év; magasság: 30 m/2025; 646/2025",47.079722,17.635278
Sáska,616,Veszprém,"46,58,58-17,30,01",2008,közönséges bükk,"Baranyai László. 2009 Szél Győző: erősen sérült, nagy ágai letörtek.",46.982778,17.500278
Sopron**,609,Győr-Moson-Sopron,"47,39,56-16,25,39",2016,közönséges bükk,"Torma Ágnes, Torma Zoltánné, Torma Zoltán; Szél Győző; hatágú, alacsonyan elágazó",47.665556,16.4275
Püspökszentlászló,596,Baranya,"46,10,59-18,21,37",2011,közönséges bükk,MDT; kettős törzsű; 613/2015; 2019: már nincsen meg (Lukács Róbert),46.183056,18.360278
Gyenesdiás,587,Zala,"46,47,54-17,18,23",2003,közönséges bükk,592/2010; Tóth Sándor: 2016-ra elszáradt,46.798333,17.306389
Börzsöny (Diósjenő),585,Nógrád,"47,56,59-18,57,48",2012,közönséges bükk,"Korhadt, nagy része letörve, egy ága él.",47.949722,18.963333
Ugod,584,Veszprém,"47,16,22-17,41,00",2006,közönséges bükk,"Bajner Attila, ugodi erdészek; 608/2013; 2014-ben nagy ága letört, 2015-re végleg összetört, elpusztult.",47.272778,17.683333
Miskolc,574,Borsod-Abaúj-Zemplén,"48,06,05-20,34,56",2009,közönséges bükk,"Molnár Bence; 567/2022, erősen korhad",48.101389,20.582222
Ajka,573,Veszprém,"47,04,49-17,34,08",2013,közönséges bükk,Gyurman Csaba,47.080278,17.568889
Ugod,571,Veszprém,"47,15,14-17,40,02",2006,közönséges bükk,"Bajner Attila, ugodi erdészek; 2013: elpusztult, csak széttört maradványai látszanak",47.253889,17.667222
Salgótarján,565,Nógrád,"48,05,05-19,50,19*",2012,közönséges bükk,"Jandala Attila; korhad, alig van élő ága.",48.084722,19.838611
Kisgyőr,565,Borsod-Abaúj-Zemplén,"48,02,15-20,36,20",2019,közönséges bükk,"Torma Zoltánné, Torma Zoltán",48.0375,20.605556
Ajka,563,Veszprém,"47,04,54-17,34,10",2013,közönséges bükk,Gyurman Csaba,47.081667,17.569444
Balatonhenye,562,Veszprém,"46,56,11-17,36,37",2002,közönséges bükk,"563/2007; 2008. júliusában a törzs egy része kiégett; 564/2009, a korona 2/3 része gyakorlatilag elszáradt; Horváth András: 2012-ben már nem hajtott ki; Vokó László, Sonnevend Imre: 2016-ban kidőlt",46.936389,17.610278
Miskolc,553,Borsod-Abaúj-Zemplén,"48,06,05-20,35,01",2009,közönséges bükk,Molnár Bence és Zoltán; 573/2022; magasság: 30 m/2022,48.101389,20.583611
Ajka,552,Veszprém,"47,04,50-17,34,09",2013,közönséges bükk,Gyurman Csaba,47.080556,17.569167
Sáska,552,Veszprém,"46,58,38-17,29,59",2008,közönséges bükk,Baranyai László,46.977222,17.499722
Pénzesgyőr,551,Veszprém,"47,12,38-17,47,23",2009,közönséges bükk,Baranyai László; 586/2022,47.210556,17.789722
Kám/Jeli,550,Vas,"47,04,49-16,53,01",2010,közönséges bükk,"Ambrózy-bükk; 2020: kidőlt (Jandala Attila, Emődy Wáman Zoltán)",47.080278,16.883611
Pénzesgyőr,550,Veszprém,"47,12,57-17,47,31",2022,közönséges bükk,Teket Attila,47.215833,17.791944
Szögliget,549,Borsod-Abaúj-Zemplén,"48,31,31-20,41,14",2023,közönséges bükk,Lenkei Péter,48.525278,20.687222
Szentgál,548,Veszprém,"47,10,58-17,43,14",2023,közönséges bükk,Teket Attila,47.182778,17.720556
Sáska,546,Veszprém,"46,58,29-17,29,45",2008,közönséges bükk,Baranyai László; 2020: elpusztult (Teket Attila),46.974722,17.495833
Sáska,545,Veszprém,"46,58,35-17,29,57",2008,közönséges bükk,Baranyai László,46.976389,17.499167
Salgótarján,545,Nógrád,"48,06,55-19,54,08",2012,közönséges bükk,Jandala Attila; 2014: erősen korhad a törzse,48.115278,19.902222
Nagykorpád,545,Somogy,"46,16,13-17,24,18",2005,közönséges bükk,alacsonyan szétágazó,46.270278,17.405
Pénzesgyőr,543,Veszprém,"47,12,19-17,48,24",2010,közönséges bükk,"Baranyai László, Jandala Attila",47.205278,17.806667
Bucsuta,540,Zala,"46,35,05-16,50,48",2020,közönséges bükk,Nagy Dániel,46.584722,16.846667
Kishuta (Pálháza),539,Borsod-Abaúj-Zemplén,"48,27,36-21,29,13",2006,közönséges bükk,"550/2009; 554/2012; 565/2015; 574/2019; magasság: 34,5 m/2019; 581/2024; 582/2025",48.46,21.486944
Ivánc,538,Vas,"46,56,51-16,30,16",2021,közönséges bükk,,46.9475,16.504444
Ugod,536,Veszprém,"47,17,32-17,40,32",2017,közönséges bükk,"Jandala Attila, Sütő Krisztián; két fő törzs, az egyik törött, erősen korhad.",47.292222,17.675556
Baj,536,Komárom-Esztergom,"47,39,05-18,25,39",2010,közönséges bükk,540/2013; 2024: kidőlt (Szél Győző),47.651389,18.4275
Szulimán,535,Baranya,"46,07,22-17,48,11",2009,közönséges bükk,Lukács Róbert; két törzsből nőtt össze; 2023: kidőlt (Lukács Róbert),46.122778,17.803056
Pula,535,Veszprém,"46,59,05-17,38,10",2012,közönséges bükk,Schönwald Csaba; 2023: elszáradt (Sólyom Attila),46.984722,17.636111
Sáska,535,Veszprém,"46,58,41-17,29,50",2008,közönséges bükk,Baranyai László,46.978056,17.497222
Börzsöny (Diósjenő)**,535,Nógrád,"47,56,59-18,57,46",2012,közönséges bükk,,47.949722,18.962778
Kárász,535,Baranya,"46,16,12-18,18,11",2010,közönséges bükk,Jandala Attila; 2024: már nem él (Lukács Róbert),46.27,18.303056
Ugod,531,Veszprém,"47,16,21-17,40,19",2006,közönséges bükk,"Bajner Attila, ugodi erdészek; 2013: elpusztult, csak a tönkje látszik",47.2725,17.671944
Börzsöny (Diósjenő),530,Nógrád,"47,56,43-18,57,09",2011,közönséges bükk,"Rozenberszki Dóra, Nagy Zoltán; Sváb Sándor emléktáblánál.",47.945278,18.9525
